user_id,product_id,action,timestamp
U0021,P0085,click,2025-01-01 00:00:00
U0021,P0127,view,2025-01-01 00:51:00
U0021,P0127,click,2025-01-01 01:59:00
U0021,P0127,add_to_cart,2025-01-01 03:41:00
U0021,P0086,view,2025-01-01 04:56:00
U0021,P0083,view,2025-01-01 05:57:00
U0021,P0083,add_to_cart,2025-01-01 07:04:00
U0021,P0141,view,2025-01-01 08:26:00
U0054,P0166,view,2025-01-02 00:00:00
U0083,P0043,click,2025-01-02 00:00:00
U0283,P0049,click,2025-01-02 00:00:00
U0283,P0049,click,2025-01-02 01:23:00
U0083,P0043,click,2025-01-02 01:29:00
U0054,P0166,click,2025-01-02 01:37:00
U0283,P0049,click,2025-01-02 01:50:00
U0283,P0128,view,2025-01-02 02:28:00
U0083,P0043,add_to_cart,2025-01-02 02:35:00
U0054,P0166,add_to_cart,2025-01-02 02:50:00
U0083,P0111,view,2025-01-02 03:06:00
U0083,P0053,view,2025-01-02 03:21:00
U0054,P0165,view,2025-01-02 03:26:00
U0083,P0053,click,2025-01-02 03:40:00
U0054,P0165,click,2025-01-02 03:50:00
U0283,P0128,click,2025-01-02 03:53:00
U0083,P0053,click,2025-01-02 04:35:00
U0283,P0128,add_to_cart,2025-01-02 05:19:00
U0054,P0165,click,2025-01-02 05:47:00
U0054,P0165,add_to_cart,2025-01-02 06:06:00
U0083,P0053,click,2025-01-02 06:34:00
U0283,P0051,view,2025-01-02 06:48:00
U0054,P0168,view,2025-01-02 07:04:00
U0283,P0051,add_to_cart,2025-01-02 08:45:00
U0012,P0050,view,2025-01-03 00:00:00
U0257,P0117,view,2025-01-03 00:00:00
U0257,P0117,add_to_cart,2025-01-03 00:10:00
U0257,P0198,view,2025-01-03 00:24:00
U0012,P0050,click,2025-01-03 00:27:00
U0257,P0177,view,2025-01-03 01:47:00
U0012,P0050,add_to_cart,2025-01-03 02:01:00
U0257,P0177,click,2025-01-03 02:40:00
U0257,P0177,click,2025-01-03 03:06:00
U0012,P0073,view,2025-01-03 03:17:00
U0012,P0103,view,2025-01-03 03:37:00
U0257,P0177,add_to_cart,2025-01-03 04:25:00
U0257,P0013,view,2025-01-03 05:10:00
U0012,P0103,click,2025-01-03 05:24:00
U0012,P0103,click,2025-01-03 06:36:00
U0012,P0103,add_to_cart,2025-01-03 07:57:00
U0214,P0047,view,2025-01-04 00:00:00
U0379,P0101,view,2025-01-04 00:00:00
U0417,P0028,view,2025-01-04 00:00:00
U0417,P0028,click,2025-01-04 00:20:00
U0214,P0047,click,2025-01-04 00:29:00
U0214,P0195,view,2025-01-04 01:00:00
U0379,P0101,click,2025-01-04 01:07:00
U0379,P0101,add_to_cart,2025-01-04 01:54:00
U0379,P0146,view,2025-01-04 02:16:00
U0417,P0028,add_to_cart,2025-01-04 02:19:00
U0214,P0011,view,2025-01-04 02:20:00
U0417,P0133,view,2025-01-04 02:33:00
U0417,P0133,add_to_cart,2025-01-04 02:52:00
U0379,P0169,view,2025-01-04 03:24:00
U0379,P0169,add_to_cart,2025-01-04 03:54:00
U0214,P0011,click,2025-01-04 04:06:00
U0417,P0133,add_to_cart,2025-01-04 04:13:00
U0214,P0011,add_to_cart,2025-01-04 04:41:00
U0417,P0088,view,2025-01-04 04:43:00
U0379,P0169,click,2025-01-04 04:52:00
U0379,P0078,view,2025-01-04 06:17:00
U0214,P0085,view,2025-01-04 06:18:00
U0417,P0088,click,2025-01-04 06:18:00
U0214,P0085,click,2025-01-04 06:44:00
U0362,P0193,click,2025-01-05 00:00:00
U0362,P0193,add_to_cart,2025-01-05 00:45:00
U0362,P0193,add_to_cart,2025-01-05 02:40:00
U0362,P0048,view,2025-01-05 03:09:00
U0362,P0048,click,2025-01-05 04:15:00
U0362,P0048,click,2025-01-05 04:32:00
U0362,P0180,view,2025-01-05 05:58:00
U0362,P0180,click,2025-01-05 07:52:00
U0085,P0115,click,2025-01-07 00:00:00
U0093,P0001,view,2025-01-07 00:00:00
U0085,P0115,click,2025-01-07 00:23:00
U0093,P0181,view,2025-01-07 01:30:00
U0085,P0115,add_to_cart,2025-01-07 01:42:00
U0093,P0181,click,2025-01-07 01:46:00
U0085,P0115,click,2025-01-07 01:59:00
U0093,P0181,add_to_cart,2025-01-07 02:00:00
U0093,P0181,click,2025-01-07 02:17:00
U0085,P0115,add_to_cart,2025-01-07 03:16:00
U0093,P0181,add_to_cart,2025-01-07 03:44:00
U0093,P0028,view,2025-01-07 04:22:00
U0093,P0028,click,2025-01-07 04:39:00
U0085,P0115,click,2025-01-07 05:01:00
U0085,P0115,click,2025-01-07 06:14:00
U0085,P0115,add_to_cart,2025-01-07 08:11:00
U0051,P0042,click,2025-01-08 00:00:00
U0286,P0027,view,2025-01-08 00:00:00
U0451,P0152,click,2025-01-08 00:00:00
U0451,P0152,add_to_cart,2025-01-08 00:29:00
U0451,P0001,view,2025-01-08 00:59:00
U0051,P0042,click,2025-01-08 01:31:00
U0286,P0027,click,2025-01-08 01:46:00
U0451,P0024,view,2025-01-08 01:52:00
U0051,P0042,add_to_cart,2025-01-08 01:58:00
U0451,P0024,click,2025-01-08 03:09:00
U0051,P0042,click,2025-01-08 03:24:00
U0286,P0027,click,2025-01-08 03:37:00
U0451,P0024,add_to_cart,2025-01-08 04:05:00
U0286,P0027,add_to_cart,2025-01-08 04:21:00
U0451,P0139,view,2025-01-08 05:08:00
U0051,P0042,add_to_cart,2025-01-08 05:14:00
U0286,P0027,click,2025-01-08 05:20:00
U0286,P0027,add_to_cart,2025-01-08 05:27:00
U0051,P0028,view,2025-01-08 05:30:00
U0051,P0028,click,2025-01-08 05:47:00
U0286,P0177,view,2025-01-08 05:57:00
U0451,P0139,click,2025-01-08 06:20:00
U0051,P0075,view,2025-01-08 06:53:00
U0286,P0168,view,2025-01-08 07:15:00
U0151,P0125,view,2025-01-09 00:00:00
U0418,P0115,click,2025-01-09 00:00:00
U0428,P0039,view,2025-01-09 00:00:00
